Model,Year,Brand,Kms_driven,Fuel_type,Price
Renault Kwid RxL,2019,Renault,31755, Petrol ,371099
Maruti Suzuki Ertiga,2021,Maruti,35063, Petrol + CNG ,1083399
Kia Seltos,2020,Kia,6313, Petrol ,1899099
Maruti Suzuki Wagon,2020,Maruti,4616, Petrol ,566099
Hyundai Grand i10,2018,Hyundai,17086, Petrol ,547599
Maruti Suzuki Wagon,2021,Maruti,3032, Petrol ,720999
Maruti Suzuki Wagon,2015,Maruti,9797, Petrol + CNG ,406099
Hyundai EON Era,2018,Hyundai,30107, Petrol ,345899
Maruti Suzuki Wagon,2016,Maruti,20544, Petrol ,371099
Hyundai i10 Sportz,2013,Hyundai,16000, Petrol,360000
Honda Mobilio S,2016,Honda,80000, CNG ,600000
Maruti Suzuki Wagon,2009,Maruti,85000, Petrol,195000
Honda City 1.5,2012,Honda,40000, Petrol,391000
Honda City VX,2018,Honda,21000, Petrol,990000
Hyundai Xcent S,2014,Hyundai,61000, Petrol,365000
Maruti Suzuki Swift,2011,Maruti,60000, Petrol,265000
Skoda Rapid,2013,Skoda,77935, Petrol,325000
Volkswagen Vento,2015,Volkswagen,38552, Petrol ,553599
Maruti Suzuki Dzire,2017,Maruti,37954, Petrol ,679299
Tata Nexon,2019,Tata,8058, Petrol ,996299
Ford Figo Aspire,2018,Ford,50308, Petrol ,497799
Ford Figo Aspire,2018,Ford,17724, Petrol ,555599
Renault Kwid RXT,2017,Renault,5788, Petrol ,369399
Maruti Suzuki Celerio,2016,Maruti,65301, Petrol ,406899
Maruti Suzuki Swift,2019,Maruti,16391, Petrol ,624999
Hyundai Grand i10,2017,Hyundai,41460, Petrol ,467799
Hyundai Creta,2018,Hyundai,31178, Petrol ,1243499
Maruti Suzuki Vitara,2016,Maruti,82808, Diesel ,709799
Tata Nexon,2021,Tata,15790, Petrol ,1158799
Maruti Suzuki Swift,2019,Maruti,30117, Petrol ,666699
Maruti Suzuki S,2017,Maruti,24356, Diesel ,870899
Maruti Suzuki Wagon,2018,Maruti,63205, Petrol + CNG ,468499
Honda Jazz,2016,Honda,74645, Petrol ,481799
Toyota Fortuner 2.8,2012,Toyota,221000, Diesel,1750000
Hyundai Grand i10,2017,Hyundai,29287, Petrol,610000
Tata Nano AMT,2016,Tata,9973, Petrol,275000
Honda Amaze 1.2,2015,Honda,57000, Petrol,525000
Hyundai Grand i10,2015,Hyundai,15000, Petrol,451000
Chevrolet Cruze LTZ,2013,Chevrolet,117000, Diesel,399999
Hyundai Sonata Embera,2010,Hyundai,110000, Diesel,561000
Tata Harrier XT,2021,Tata,5000, Diesel ,1850000
Maruti Suzuki S,2019,Maruti,27547, Petrol ,464299
Hyundai Verna 1.6,2017,Hyundai,32294, Petrol ,747199
Maruti Suzuki Dzire,2017,Maruti,35068, Petrol ,716899
Hyundai Grand i10,2015,Hyundai,37356, Petrol ,377599
Maruti Suzuki Ciaz,2018,Maruti,15002, Petrol ,801799
Renault Duster RXZ,2020,Renault,28417, Petrol ,916399
Maruti Suzuki Baleno,2018,Maruti,59612, Petrol ,584799
Ford Ecosport,2018,Ford,7568, Petrol ,755199
Tata Nexon,2020,Tata,11922, Petrol ,1200999
MG Motors Hector,2019,MG,41976, Diesel ,1455499
Maruti Suzuki Ignis,2021,Maruti,3290, Petrol ,836999
Maruti Suzuki Alto,2018,Maruti,44012, Petrol ,383899
Maruti Suzuki Swift,2017,Maruti,39788, Diesel ,627699
Hyundai Santro,2019,Hyundai,6186, Petrol ,583199
Hyundai Verna,2018,Hyundai,90675, Petrol ,906099
Renault Kwid RXT,2019,Renault,40096, Petrol ,396599
Mahindra Verito 1.5,2015,Mahindra,195000, Diesel ,380000
Honda City ZX,2007,Honda,74500, Petrol,175000
Toyota Etios VX,2015,Toyota,37000, Diesel ,640000
Tata Nexon XZA,2021,Tata,18000, Petrol ,1250000
Hyundai i20 Magna,2011,Hyundai,75000, Petrol ,235000
Maruti Suzuki Baleno,2020,Maruti,25000, Petrol,640000
Honda City 1.5,2016,Honda,75000, Petrol ,550000
Hyundai Verna 1.6,2015,Hyundai,41000, Petrol ,485000
Maruti Suzuki Dzire,2022,Maruti,3631, Petrol + CNG ,973699
Datsun Redi GO,2019,Datsun,44740, Petrol ,322799
Honda Amaze,2018,Honda,29382, Petrol ,653499
Maruti Suzuki Baleno,2018,Maruti,79291, Diesel ,629999
Maruti Suzuki Swift,2013,Maruti,33166, Petrol ,449199
Hyundai Santro,2019,Hyundai,30673, Petrol + CNG ,571599
Honda City,2018,Honda,23547, Petrol ,1106399
Maruti Suzuki Dzire,2017,Maruti,31852, Petrol ,709799
Toyota Yaris VX,2018,Toyota,11019, Petrol ,1098099
Maruti Suzuki Wagon,2013,Maruti,61584, Petrol ,297799
Tata Harrier,2021,Tata,17030, Diesel ,1797799
Tata Tiago,2022,Tata,14430, Petrol + CNG ,832499
Maruti Suzuki Baleno,2017,Maruti,67741, Petrol + CNG ,565999
Hyundai Grand i10,2016,Hyundai,28621, Petrol ,395599
Maruti Suzuki Alto,2019,Maruti,5605, Petrol ,399199
Maruti Suzuki Dzire,2020,Maruti,17463, Petrol ,650199
BMW X5 xDrive,2009,BMW,125000, Diesel,1785000
Mercedes Benz E,2019,Mercedes,13000, Petrol,5300000
BMW 3 Series,2015,BMW,61000, Diesel ,1850000
BMW X1 sDrive20d,2011,BMW,135000, Diesel ,1170000
Jaguar XF 2.2,2015,Jaguar,50000, Diesel,2475000
Mercedes Benz C,2011,Mercedes,75000, Diesel ,1190000
Honda Civic 1.8,2008,Honda,60000, Petrol ,250000
Maruti Suzuki SX4,2007,Maruti,80000, Petrol ,150000
Hyundai Grand i10,2017,Hyundai,96545, Petrol ,439699
Ford Ecosport,2019,Ford,9972, Petrol ,839699
Maruti Suzuki Dzire,2018,Maruti,28430, Petrol ,638199
Honda City VX,2015,Honda,25911, Petrol ,626499
Hyundai Grand i10,2015,Hyundai,61388, Petrol ,411699
Maruti Suzuki Swift,2018,Maruti,38212, Petrol ,578099
Hyundai Grand i10,2017,Hyundai,20370, Petrol ,465999
Maruti Suzuki Celerio,2014,Maruti,46138, Petrol ,359999
Hyundai Santro Sportz,2021,Hyundai,7934, Petrol ,547499
Honda City,2016,Honda,35271, Petrol ,618499
Tata Hexa,2018,Tata,55121, Diesel ,1063599
Maruti Suzuki S,2020,Maruti,11221, Petrol ,486499
Hyundai Grand i10,2016,Hyundai,23365, Petrol ,408799
Maruti Suzuki Eeco,2019,Maruti,34640, Petrol + CNG ,505399
Renault Triber,2019,Renault,30072, Petrol ,544599
Maruti Suzuki Baleno,2017,Maruti,33546, Petrol ,628799
Kia Seltos HTK,2020,Kia,27000, Diesel ,1425000
Maruti Suzuki Baleno,2017,Maruti,44000, Petrol ,645000
Ford EcoSport Titanium,2015,Ford,80000, Diesel ,485000
Tata Indica,2009,Tata,95000, Diesel ,65000
BMW 5 Series,2011,BMW,42000, Diesel ,1400000
Honda Amaze 1.5,2016,Honda,39000, Diesel,375000
Honda City 1.5,2019,Honda,33000, Diesel,1085000
Toyota Innova Crysta,2019,Toyota,180000, Diesel,2165000
Hyundai Grand i10,2020,Hyundai,10756, Petrol ,563299
Tata Harrier,2021,Tata,16506, Diesel ,1882899
Kia Seltos,2019,Kia,12757, Petrol ,1667299
Maruti Suzuki Ciaz,2016,Maruti,45011, Petrol ,648299
Maruti Suzuki Wagon,2016,Maruti,12085, Petrol ,442399
Maruti Suzuki Wagon,2013,Maruti,47526, Petrol ,304099
Jeep Compass,2019,Jeep,3709, Petrol ,2044999
Maruti Suzuki Dzire,2020,Maruti,17361, Petrol ,706499
Skoda Rapid,2020,Skoda,27690, Petrol ,1059499
Mercedes Benz E,2011,Mercedes,77861, Diesel ,1032899
Hyundai Creta,2020,Hyundai,59488, Diesel ,1644699
Hyundai Elite i20,2017,Hyundai,51042, Petrol ,591899
Maruti Suzuki Swift,2019,Maruti,45291, Petrol ,545199
Maruti Suzuki Alto,2018,Maruti,13815, Petrol ,340699
Maruti Suzuki Alto,2021,Maruti,16400, Petrol + CNG ,518199
Hyundai i10 Sportz,2013,Hyundai,90152, Petrol ,328899
Tata Hexa Varicor,2018,Tata,44000, Diesel ,1200000
Mercedes Benz S,2011,Mercedes,72000, Petrol ,1875000
Maruti Suzuki Swift,2017,Maruti,33000, Petrol,590000
Tata Tiago Revotron,2017,Tata,85000, Petrol ,365000
Honda Amaze 1.2,2013,Honda,45000, Petrol,281000
Ford EcoSport Titanium,2013,Ford,130000, Diesel,441000
Chevrolet Cruze LTZ,2013,Chevrolet,112000, Diesel,475000
Maruti Suzuki Ignis,2019,Maruti,34076, Petrol ,515699
Jeep Compass,2017,Jeep,62919, Diesel ,1174999
Hyundai Venue,2020,Hyundai,9904, Petrol ,1132999
Maruti Suzuki Wagon,2021,Maruti,5106, Petrol ,713999
Ford Ecosport,2019,Ford,55237, Diesel ,852799
Honda City VX,2017,Honda,27432, Petrol ,815699
Toyota Yaris VX,2018,Toyota,21126, Petrol ,1057599
Honda Amaze,2022,Honda,2825, Petrol ,945599
Maruti Suzuki Alto,2015,Maruti,44738, Petrol ,325399
Maruti Suzuki Wagon,2020,Maruti,13744, Petrol ,556599
Maruti Suzuki Baleno,2015,Maruti,73218, Petrol ,498299
Maruti Suzuki Swift,2019,Maruti,45067, Petrol ,616099
Jeep Compass,2017,Jeep,44068, Diesel ,1199499
Maruti Suzuki Wagon,2021,Maruti,10754, Petrol + CNG ,640599
Honda WR V,2017,Honda,17884, Petrol ,638399
Ford Ecosport,2021,Ford,14538, Diesel ,1077799
Maruti Suzuki Celerio,2018,Maruti,14800, Petrol,650000
Volkswagen Polo GT,2020,Volkswagen,13800, Petrol,800000
Maruti Suzuki Vitara,2021,Maruti,9789, Petrol,1250000
Honda Civic 1.8V,2008,Honda,60000, Petrol ,250000
Maruti Suzuki Eeco,2012,Maruti,84340, Petrol,295000
Audi Q3 2.0,2013,Audi,38000, Diesel ,1650000
Maruti Suzuki Estilo,2007,Maruti,63524, Petrol,99000
Maruti Suzuki Swift,2020,Maruti,45000, Diesel,825000
Hyundai Grand i10,2016,Hyundai,9685, Petrol ,488799
Maruti Suzuki Wagon,2017,Maruti,40793, Petrol ,392999
MG Motors Hector,2019,MG,30766, Diesel ,1551899
Hyundai Grand i10,2018,Hyundai,39094, Petrol ,463399
Hyundai Creta,2018,Hyundai,35051, Petrol ,943999
Maruti Suzuki Baleno,2019,Maruti,24539, Petrol ,657199
Renault Kwid RXT,2017,Renault,24964, Petrol ,334099
Maruti Suzuki Ignis,2018,Maruti,43778, Petrol ,528599
Hyundai Elite i20,2017,Hyundai,46459, Petrol ,593099
Maruti Suzuki Baleno,2019,Maruti,28999, Petrol ,650999
Maruti Suzuki Baleno,2016,Maruti,50747, Petrol ,529899
Maruti Suzuki S,2020,Maruti,47242, Petrol ,949799
Maruti Suzuki Dzire,2018,Maruti,8242, Diesel ,697299
Datsun Redi GO,2018,Datsun,40026, Petrol ,287399
Honda Amaze,2013,Honda,72879, Petrol ,404099
Maruti Suzuki Dzire,2020,Maruti,16883, Petrol ,725399
Honda City ZX,2008,Honda,85000, Petrol,150000
Porsche Cayenne Select,2011,Porsche,38000, Electric ,3300000
Volkswagen Vento Highline,2015,Volkswagen,66000, Petrol,575000
Maruti Suzuki Ertiga,2016,Maruti,175, Diesel,750000
Tata Indigo CS,2009,Tata,88000, Diesel,158000
Hyundai Getz GLS,2007,Hyundai,82650, Petrol,165000
Maruti Suzuki Swift,2007,Maruti,116000, Petrol,210000
Chevrolet Beat LT,2012,Chevrolet,85000, Diesel,215000
Hyundai Grand i10,2019,Hyundai,19804, Petrol ,520999
Maruti Suzuki Ciaz,2019,Maruti,27831, Petrol ,856699
Maruti Suzuki Dzire,2021,Maruti,14400, Petrol ,741999
Tata Nexon,2020,Tata,29907, Diesel ,1164699
Hyundai Elite i20,2015,Hyundai,35116, Petrol ,555399
Volkswagen Ameo Comfortline,2016,Volkswagen,64606, Petrol ,432399
Maruti Suzuki Alto,2014,Maruti,16317, Petrol ,314699
Maruti Suzuki Swift,2019,Maruti,15237, Petrol ,576399
Renault Kwid RxL,2019,Renault,17658, Petrol ,363799
Maruti Suzuki Baleno,2019,Maruti,46520, Petrol ,640299
Maruti Suzuki Swift,2017,Maruti,13998, Petrol ,563399
Honda City,2014,Honda,91673, Petrol ,548899
Hyundai Grand i10,2016,Hyundai,40907, Petrol ,441599
Maruti Suzuki Celerio,2015,Maruti,50241, Petrol ,352899
Maruti Suzuki Wagon,2012,Maruti,20616, Petrol ,326399
Maruti Suzuki Celerio,2017,Maruti,42113, Petrol ,419799
Maruti Suzuki Eeco,2013,Maruti,70000, CNG,250000
Jeep Compass Limited,2017,Jeep,31000, Diesel ,1750000
Jeep Compass Limited,2017,Jeep,31000, Diesel ,1750000
Jeep Compass Limited,2017,Jeep,31000, Diesel ,1750000
Jeep Compass Limited,2017,Jeep,31000, Diesel ,1750000
Jeep Compass Limited,2017,Jeep,31000, Diesel ,1750000
Jeep Compass Limited,2017,Jeep,31000, Diesel ,1750000
Jeep Compass Limited,2017,Jeep,31000, Diesel ,1750000
Honda City V,2018,Honda,21687, Petrol ,974799
Hyundai Grand i10,2014,Hyundai,65617, Diesel ,306899
Maruti Suzuki Wagon,2021,Maruti,3810, Petrol ,671899
Maruti Suzuki Baleno,2018,Maruti,50712, Petrol ,576299
Volkswagen Polo,2019,Volkswagen,40406, Petrol ,837299
Maruti Suzuki Vitara,2017,Maruti,37831, Diesel ,758399
Maruti Suzuki Alto,2019,Maruti,71129, Petrol ,297999
Honda City,2014,Honda,86001, Diesel ,433099
Maruti Suzuki Baleno,2021,Maruti,22701, Petrol ,688599
Hyundai Creta,2020,Hyundai,7599, Petrol ,1241099
Mahindra Scorpio,2018,Mahindra,41029, Diesel ,1093699
Maruti Suzuki Alto,2017,Maruti,11865, Petrol ,358899
Hyundai Xcent,2014,Hyundai,87038, Petrol ,429199
Maruti Suzuki Alto,2021,Maruti,1842, Petrol ,438899
Honda City VX,2020,Honda,31419, Petrol ,1139899
MG Motors Hector,2021,MG,20604, Petrol ,1850099
Jeep Compass Limited,2017,Jeep,31000, Diesel ,1750000
Jeep Compass Limited,2017,Jeep,31000, Diesel ,1750000
Hyundai Fluidic Verna,2013,Hyundai,77000, Petrol,650000
Maruti Suzuki Wagon,2008,Maruti,70266, LPG,220000
Maruti Suzuki Swift,2010,Maruti,80000, Diesel,235000
Maruti Suzuki Ciaz,2015,Maruti,102534, Diesel ,565199
Tata Nexon XT,2020,Tata,33000, Diesel ,970000
Hyundai Verna 1.6,2009,Hyundai,98000, Diesel ,225000
Honda Brio,2013,Honda,42353, Petrol ,309499
Maruti Suzuki Swift,2018,Maruti,36424, Petrol ,648699
Kia Seltos,2019,Kia,15503, Petrol ,1475099
Hyundai Venue,2019,Hyundai,33164, Diesel ,949299
Renault Kwid RXT,2020,Renault,12478, Petrol ,466399
Maruti Suzuki Vitara,2021,Maruti,15271, Petrol ,987499
Maruti Suzuki Alto,2017,Maruti,67304, Petrol ,281899
Kia Seltos,2020,Kia,7568, Petrol ,1713099
Hyundai Verna,2021,Hyundai,20361, Petrol ,1139799
Maruti Suzuki Alto,2018,Maruti,11220, Petrol ,391999
Volkswagen Polo,2014,Volkswagen,83193, Petrol ,417499
Maruti Suzuki Alto,2019,Maruti,34334, Petrol ,405499
Hyundai Elite i20,2016,Hyundai,57762, Petrol ,474799
Hyundai Venue,2021,Hyundai,8402, Petrol ,895999
Hyundai Santro,2021,Hyundai,45369, Petrol + CNG ,626999
Hyundai Creta,2017,Hyundai,74346, Diesel ,1209499
Hyundai Grand i10,2016,Hyundai,16000, Petrol ,570000
Hyundai Elite i20,2019,Hyundai,36300, Diesel,664000
Hyundai Xcent Base,2016,Hyundai,101573, Diesel ,400000
Ford Figo,2013,Ford,55731, Diesel,270000
Hyundai Grand i10,2016,Hyundai,16000, Petrol ,570000
Hyundai Creta 1.6,2017,Hyundai,77000, Diesel,1050000
Tata Tiago XE,2019,Tata,32500, Petrol,395000
Hyundai Elite i20,2018,Hyundai,47300, Petrol,650000
Maruti Suzuki Wagon,2021,Maruti,34542, Petrol + CNG ,683199
Maruti Suzuki Swift,2017,Maruti,21402, Petrol ,474199
Maruti Suzuki Ertiga,2013,Maruti,119146, Diesel ,409799
Maruti Suzuki Swift,2018,Maruti,28218, Petrol ,660399
Honda Civic ZX,2019,Honda,19005, Petrol ,1835099
Maruti Suzuki Swift,2018,Maruti,46354, Petrol ,556799
Honda Amaze,2018,Honda,51959, Diesel ,675799
Hyundai i10 Magna,2010,Hyundai,35942, Petrol ,199599
Hyundai Grand i10,2018,Hyundai,20011, Petrol ,509899
Hyundai Elite i20,2016,Hyundai,91310, Petrol ,507699
Hyundai EON Era,2015,Hyundai,41499, Petrol ,255699
Maruti Suzuki Ignis,2018,Maruti,30894, Petrol ,494699
Audi Q3,2016,Audi,86395, Diesel ,1837899
Maruti Suzuki Ciaz,2018,Maruti,34509, Petrol ,711999
Maruti Suzuki Alto,2018,Maruti,23627, Petrol ,392999
Toyota Yaris VX,2018,Toyota,79209, Petrol ,994299
Renault Kwid RXT,2019,Renault,10000, Petrol,490000
Maruti Suzuki Swift,2009,Maruti,95000, Diesel,294999
Force Motors One,2012,Force,80000, Diesel ,450000
Hyundai Verna 1.6,2016,Hyundai,29000, Petrol,525000
Maruti Suzuki Swift,2017,Maruti,22000, Petrol,560000
Maruti Suzuki Swift,2017,Maruti,22000, Petrol,560000
Tata ALTROZ XE,2021,Tata,5700, Petrol,710000
Mercedes Benz GLE,2017,Mercedes,90000, Diesel,4500000
Maruti Suzuki Swift,2017,Maruti,50835, Diesel ,528499
MG Motors Hector,2019,MG,58721, Petrol ,1571399
Toyota Yaris,2021,Toyota,8213, Petrol ,1084099
Honda Amaze,2017,Honda,38417, Petrol ,517099
Ford Ecosport,2016,Ford,35077, Diesel ,543199
Maruti Suzuki Vitara,2022,Maruti,8140, Petrol ,1042799
Mahindra TUV300 T8,2018,Mahindra,39551, Diesel ,699999
Honda Amaze,2019,Honda,72250, Petrol ,613299
Maruti Suzuki Alto,2011,Maruti,19069, Petrol ,185099
Maruti Suzuki Baleno,2018,Maruti,47255, Petrol ,587299
Maruti Suzuki Baleno,2016,Maruti,56613, Petrol ,535499
Maruti Suzuki Swift,2015,Maruti,34292, Petrol ,425499
Maruti Suzuki Wagon,2016,Maruti,9300, Petrol ,413999
Maruti Suzuki Alto,2018,Maruti,29579, Petrol ,330099
Maruti Suzuki Alto,2019,Maruti,31426, Petrol + CNG ,422599
Hyundai Grand i10,2016,Hyundai,24843, Petrol ,408299
Maruti Suzuki Baleno,2015,Maruti,90000, Diesel,520000
Maruti Suzuki Alto,2015,Maruti,45000, Petrol,290000
Maruti Suzuki Baleno,2015,Maruti,90000, Diesel,520000
Toyota Etios GD,2018,Toyota,170000, Diesel,615000
Toyota Etios GD,2018,Toyota,170000, Diesel,615000
Skoda Rapid 1.5,2016,Skoda,116000, Diesel,720000
Fiat Punto,2012,Fiat,52000, Petrol,275000
Hyundai i20 Sportz,2018,Hyundai,30000, Petrol,549000
Maruti Suzuki Baleno,2018,Maruti,19419, Diesel ,620699
Hyundai Grand i10,2020,Hyundai,12986, Petrol ,565199
Hyundai Grand i10,2017,Hyundai,63766, Petrol ,483899
Hyundai Elite i20,2018,Hyundai,54347, Petrol ,547699
Maruti Suzuki Swift,2017,Maruti,46762, Petrol ,416799
Maruti Suzuki Alto,2017,Maruti,25239, Petrol ,383399
Hyundai Grand i10,2017,Hyundai,60214, Petrol ,437799
Maruti Suzuki Alto,2021,Maruti,17784, Petrol + CNG ,481899
Maruti Suzuki Wagon,2018,Maruti,32858, Petrol + CNG ,424499
Hyundai Grand i10,2017,Hyundai,39407, Petrol ,503199
Maruti Suzuki Swift,2010,Maruti,20730, Petrol ,275899
Maruti Suzuki Wagon,2021,Maruti,20396, Petrol + CNG ,656799
Jeep Compass,2019,Jeep,23128, Petrol ,1973799
Maruti Suzuki Baleno,2018,Maruti,32924, Petrol ,578799
Maruti Suzuki Dzire,2019,Maruti,12996, Petrol ,713099
Maruti Suzuki Wagon,2013,Maruti,10737, Petrol ,326399
Hyundai i20 Sportz,2018,Hyundai,30000, Petrol,549000
Hyundai Creta 1.6,2018,Hyundai,56000, Petrol,960000
Tata Safari Storme,2013,Tata,200000, Diesel,500000
Maruti Suzuki Zen,1998,Maruti,97000, Petrol ,100000
Maruti Suzuki Zen,1998,Maruti,97000, Petrol ,100000
Maruti Suzuki Alto,2006,Maruti,92000, Petrol,152000
Maruti Suzuki Swift,2015,Maruti,57500, Petrol,300000
Skoda Laura Ambition,2011,Skoda,120000, Diesel,300000
Tata Nexon,2021,Tata,17659, Petrol ,1152399
Datsun Redi GO,2021,Datsun,13021, Petrol ,408899
Maruti Suzuki Alto,2012,Maruti,86508, Petrol ,193699
Hyundai Grand i10,2016,Hyundai,68268, Petrol ,444099
Maruti Suzuki Baleno,2017,Maruti,44824, Petrol ,538499
Hyundai Creta,2020,Hyundai,31147, Petrol ,1669899
Honda City,2017,Honda,58689, Petrol ,701899
Maruti Suzuki Alto,2008,Maruti,116828, Petrol ,114099
Maruti Suzuki Baleno,2016,Maruti,49092, Petrol ,513799
Hyundai Elite i20,2018,Hyundai,52850, Petrol + CNG ,574099
Maruti Suzuki Alto,2019,Maruti,10949, Petrol ,384299
Renault Captur,2019,Renault,11017, Petrol ,1062499
Maruti Suzuki Celerio,2017,Maruti,11600, Petrol ,439949
Tata Harrier,2019,Tata,33433, Diesel ,1401799
Maruti Suzuki Alto,2015,Maruti,44178, Petrol ,319099
Maruti Suzuki Swift,2011,Maruti,38851, Diesel ,298199
Tata Tiago Revotron,2016,Tata,35000, Petrol ,320000
Honda Amaze 1.5,2018,Honda,46000, Diesel,820000
Hyundai Eon D,2012,Hyundai,34454, Petrol,190000
Tata Vista Indica,2012,Tata,85000, Diesel ,205000
Hyundai Santro Xing,2008,Hyundai,99000, Petrol ,110000
Chevrolet Sail 1.2,2013,Chevrolet,31075, Petrol ,275000
Skoda Superb Elegance,2010,Skoda,60500, Petrol,300000
Tata Tigor Revotorq,2018,Tata,59000, Diesel,510000
Maruti Suzuki Vitara,2020,Maruti,42315, Petrol ,792799
Hyundai Grand i10,2017,Hyundai,37296, Petrol ,524999
Datsun Redi GO,2018,Datsun,19414, Petrol ,305699
Hyundai Grand i10,2018,Hyundai,31106, Petrol ,459599
Maruti Suzuki Wagon,2010,Maruti,36990, Petrol ,220099
Maruti Suzuki Swift,2019,Maruti,28199, Petrol ,550099
Maruti Suzuki S,2020,Maruti,45659, Petrol ,432399
Maruti Suzuki Swift,2019,Maruti,14679, Petrol ,559199
Hyundai i10 Magna,2016,Hyundai,14992, Petrol ,360199
Maruti Suzuki Wagon,2018,Maruti,15186, Petrol ,510899
Maruti Suzuki Alto,2016,Maruti,45488, Petrol ,272599
Maruti Suzuki Vitara,2016,Maruti,42019, Diesel ,618399
Maruti Suzuki Celerio,2020,Maruti,10297, Petrol ,552299
Maruti Suzuki Celerio,2021,Maruti,9076, Petrol ,587099
Maruti Suzuki Wagon,2021,Maruti,3219, Petrol ,616299
Maruti Suzuki Celerio,2017,Maruti,40735, Petrol ,436999
Maruti Suzuki Swift,2012,Maruti,62200, Diesel,371000
Maruti Suzuki Zen,1996,Maruti,49000, Petrol,100000
Mahindra NuvoSport N8,2016,Mahindra,120000, Diesel ,295000
Volkswagen Polo Comfortline,2014,Volkswagen,913577, Diesel,475000
Maruti Suzuki S,2022,Maruti,5444, Petrol,1100000
Hyundai Elite i20,2021,Hyundai,7500, Petrol,685000
Mahindra Marazzo M2,2020,Mahindra,5000, Diesel,1320000
Hyundai AURA S,2020,Hyundai,0, Diesel,1000000
Hyundai Grand i10,2014,Hyundai,65648, Petrol ,395399
Hyundai Grand i10,2019,Hyundai,37726, Petrol ,501499
Toyota Corolla Altis,2012,Toyota,54050, Petrol ,503349
Maruti Suzuki Alto,2014,Maruti,25376, Petrol ,268999
Maruti Suzuki Celerio,2019,Maruti,27534, Petrol ,456799
Maruti Suzuki Baleno,2019,Maruti,24453, Petrol ,637499
Hyundai i10 Magna,2012,Hyundai,53248, Petrol + CNG ,181699
Hyundai Grand i10,2015,Hyundai,53939, Petrol ,471299
Honda City,2021,Honda,7867, Petrol ,1534799
Renault Kwid,2021,Renault,2863, Petrol ,461899
Tata Tigor,2021,Tata,9411, Petrol ,774799
